indicator loadings (>.708)
            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   PUA   SQR     SR    LS   PPC    PS   PUI   TKR   WEI
WEI.WEI3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.608
WEI.WEI4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.624
WEI.WEI5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.650
WEI.WEI6   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.573
WEI.WEI7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.617
WEI.WEI8   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.667


composite reliability
     alpha  rhoC   AVE  rhoA
IoIT 0.673 0.798 0.500 0.703
EoA  0.573 0.759 0.521 0.640
EoI  0.923 0.942 0.731 0.929
IMG  0.875 0.923 0.800 0.876
PEOU 0.873 0.908 0.664 0.874
VIS  0.816 0.891 0.731 0.818
VOI  0.865 0.917 0.787 0.868
PUA  0.918 0.934 0.669 0.918
SQR  0.794 0.879 0.708 0.794
SR   0.916 0.941 0.799 0.918
LS   0.899 0.919 0.586 0.900
PPC  0.868 0.901 0.603 0.871
PS   0.943 0.951 0.639 0.944
PUI  0.923 0.938 0.684 0.924
TKR  0.857 0.903 0.700 0.857
WEI  0.910 0.927 0.615 0.911

Alpha, rhoC, and rhoA should exceed 0.7 while AVE should exceed 0.5


HTMT (lavaan/semTools)
       IMG  PEOU   VIS   VOI   PUA   SQR    SR    LS   PPC    PS   PUI   TKR   WEI
IMG  1.000                                                                        
PEOU 0.347 1.000                                                                  
VIS  0.428 0.566 1.000                                                            
VOI  0.597 0.109 0.267 1.000                                                      
PUA  0.370 0.774 0.517 0.111 1.000                                                
SQR  0.602 0.392 0.318 0.431 0.418 1.000                                          
SR   0.536 0.044 0.119 0.613 0.094 0.543 1.000                                    
LS   0.533 0.701 0.526 0.266 0.845 0.534 0.232 1.000                              
PPC  0.525 0.742 0.536 0.286 0.809 0.521 0.209 0.837 1.000                        
PS   0.369 0.766 0.518 0.093 0.902 0.415 0.095 0.824 0.782 1.000                  
PUI  0.389 0.785 0.515 0.081 0.936 0.403 0.082 0.836 0.836 0.899 1.000            
TKR  0.617 0.452 0.369 0.537 0.477 0.578 0.468 0.547 0.597 0.475 0.485 1.000      
WEI  0.530 0.740 0.599 0.257 0.829 0.541 0.265 0.865 0.792 0.819 0.835 0.592 1.000
