                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
MEASURESTime              124 479 1.08e+01 2.36e+01 7.76e+00 8.25e+00 3.05e+00 2.35e+00 4.37e+02 4.34e+02 14.85   245.81 1.08e+00
MEASURES2Time             125 252 9.56e+00 1.12e+01 6.52e+00 7.14e+00 3.31e+00 2.06e+00 9.88e+01 9.68e+01  4.69    27.75 7.10e-01
DIGICHALSPECTime          126 479 4.48e+01 5.71e+01 3.04e+01 3.44e+01 2.12e+01 3.09e+00 7.18e+02 7.15e+02  5.77    50.84 2.61e+00
DIGIBENSPECTime           127 479 3.30e+01 4.19e+01 2.11e+01 2.52e+01 1.58e+01 1.39e+00 4.62e+02 4.61e+02  5.02    37.20 1.92e+00
DIGICHALGENTime           128 479 3.27e+01 6.00e+01 1.91e+01 2.36e+01 1.47e+01 1.15e+00 9.30e+02 9.28e+02  9.89   126.14 2.74e+00
DIGIBENGENTime            129 479 3.00e+01 5.27e+01 1.84e+01 2.14e+01 1.33e+01 1.21e+00 7.26e+02 7.24e+02  8.49    91.50 2.41e+00
ResidenceTime             130 479 7.72e+00 8.80e+00 6.07e+00 6.34e+00 1.75e+00 2.96e+00 1.07e+02 1.04e+02  7.89    71.41 4.00e-01
AgeTime                   131 479 7.27e+00 1.28e+01 5.55e+00 5.81e+00 1.56e+00 3.25e+00 2.44e+02 2.41e+02 14.73   250.19 5.90e-01
EducationTime             132 479 1.37e+01 2.88e+01 8.71e+00 9.66e+00 4.40e+00 3.15e+00 4.49e+02 4.46e+02 10.56   132.29 1.31e+00
ExperienceHealthcareTime  133 479 1.22e+01 1.44e+01 9.47e+00 1.01e+01 4.39e+00 2.89e+00 2.64e+02 2.61e+02 11.71   190.89 6.60e-01
GenderTime                134 479 5.85e+00 6.01e+00 4.76e+00 4.94e+00 1.36e+00 2.19e+00 8.60e+01 8.38e+01  8.75    92.49 2.70e-01
EmploymentTime            135 479 1.32e+01 2.58e+01 9.40e+00 1.01e+01 4.92e+00 1.95e+00 4.97e+02 4.95e+02 14.99   264.13 1.18e+00
na_ratio                  136 479 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00   NaN      NaN 0.00e+00
# Descriptive Statistics

Variable                           |                        Summary
-------------------------------------------------------------------
Mean id (SD)                       |             1629.008 (814.683)
Mean lastpage (SD)                 |                 37.000 (0.000)
Mean seed (SD)                     | 1046877561.033 (613017344.813)
Mean OWNEXPERIENCE (SD)            |                  1.000 (0.000)
Mean IMG.IMG1 (SD)                 |                  4.618 (1.752)
Mean IMG.IMG2 (SD)                 |                  4.787 (1.686)
Mean IMG.IMG3 (SD)                 |                  4.683 (1.808)
Mean PEOU.PEOU1 (SD)               |                  5.866 (1.107)
Mean PEOU.PEOU2 (SD)               |                  5.785 (1.152)
Mean PEOU.PEOU3 (SD)               |                  5.593 (1.284)
Mean PEOU.PEOU4 (SD)               |                  5.551 (1.263)
Mean PEOU.PEOU5 (SD)               |                  5.102 (1.392)
Mean PEOU.PEOU6 (SD)               |                  5.428 (1.283)
